repository_name,age,number_of_commits,number_of_authors,number_of_java_files,version
elasticsearch,159.766667,68933,1961,17032,HAS_RECORDS
gson,177.000000,1831,149,243,HAS_RECORDS
bazel,99.200000,36046,1114,5987,HAS_RECORDS
cas,154.100000,23140,363,6211,HAS_RECORDS
Signal-Server,113.766667,2863,47,696,HAS_RECORDS
checkstyle,263.300000,12365,428,3858,HAS_RECORDS
graylog2-server,156.466667,22161,170,4132,HAS_RECORDS
flowable-engine,155.400000,13131,391,7669,AFTER_JAVA16
junit5,95.866667,7764,228,1381,HAS_RECORDS
hazelcast,173.533333,37254,473,11144,HAS_RECORDS
camel,194.400000,64862,1293,20527,HAS_RECORDS
spring-cloud-gateway,78.333333,2347,199,440,HAS_RECORDS
sodium-fabric,39.266667,732,57,309,HAS_RECORDS
crate,121.700000,14209,107,4946,HAS_RECORDS
kestra,45.600000,1618,34,729,AFTER_JAVA16
logisim-evolution,102.400000,4156,87,1084,HAS_RECORDS
openj9,68.633333,19144,279,5061,HAS_RECORDS
jabref,235.533333,18693,652,1982,HAS_RECORDS
CompreFace,44.500000,4446,128,325,HAS_RECORDS
spring-data-elasticsearch,124.233333,1782,157,597,HAS_RECORDS
WorldEdit,151.766667,3980,128,1017,HAS_RECORDS
ArchUnit,84.133333,2169,87,1211,HAS_RECORDS
signal-cli,96.633333,1479,54,352,HAS_RECORDS
pdfsam,136.866667,1419,16,600,HAS_RECORDS
spring-batch,193.633333,6169,206,1818,HAS_RECORDS
Create,46.433333,3382,171,1778,HAS_RECORDS
intellij-plugins,199.433333,25085,363,5348,HAS_RECORDS
UniversalMediaServer,131.800000,9272,112,757,AFTER_JAVA16
spring-cloud-config,107.433333,1978,216,353,AFTER_JAVA16
servicecomb-java-chassis,72.400000,3771,166,2748,AFTER_JAVA16
jdbi,220.300000,5191,157,1140,HAS_RECORDS
dependency-track,79.500000,3785,109,538,HAS_RECORDS
AsciidocFX,107.600000,1910,34,243,HAS_RECORDS
hapi-fhir,111.466667,9468,286,3990,HAS_RECORDS
spring-data-redis,154.300000,2742,147,847,HAS_RECORDS
jooby,107.733333,5087,100,919,HAS_RECORDS
spring-data-mongodb,154.533333,3657,191,1077,HAS_RECORDS
spoon,196.133333,4264,146,2111,HAS_RECORDS
blobsaver,58.233333,331,15,24,HAS_RECORDS
marquez,58.866667,2481,87,350,HAS_RECORDS
mastodon-android,16.466667,1977,18,280,AFTER_JAVA16
BlueMap,42.566667,938,29,323,AFTER_JAVA16
Applied-Energistics-2,113.133333,4902,116,1791,HAS_RECORDS
sdrtrunk,109.066667,1289,27,2357,HAS_RECORDS
high-performance-java-persistence,91.533333,1155,14,1096,HAS_RECORDS
Botania,112.533333,9607,231,1050,HAS_RECORDS
DataFixerUpper,56.966667,208,16,162,HAS_RECORDS
sonar-java,128.866667,8529,121,3944,HAS_RECORDS
full-stack-with-angular-and-spring-boot,53.900000,62,4,36,HAS_RECORDS
openremote,87.933333,4166,39,979,AFTER_JAVA16
JustEnoughItems,103.433333,2055,146,702,HAS_RECORDS
microcks,98.166667,1161,34,323,HAS_RECORDS
sparrow,38.300000,1499,16,614,HAS_RECORDS
restheart,107.833333,4140,42,550,HAS_RECORDS
WorldGuard,150.433333,2108,90,328,AFTER_JAVA16
jte,37.466667,922,17,254,AFTER_JAVA16
pcgen,207.166667,27093,228,4481,HAS_RECORDS
Slimefun4,85.200000,7979,278,727,AFTER_JAVA16
xstream,234.866667,2878,41,639,HAS_RECORDS
cats,37.066667,1023,9,504,HAS_RECORDS
fess,116.333333,4232,43,1153,AFTER_JAVA16
ejml,163.600000,1081,23,814,AFTER_JAVA16
blog-tutorials,56.600000,987,7,786,HAS_RECORDS
spring-data-commons,155.666667,2759,149,936,HAS_RECORDS
No-Chat-Reports,11.133333,705,50,86,AFTER_JAVA16
spark,119.266667,413,30,218,HAS_RECORDS
Chunky,34.533333,456,17,158,HAS_RECORDS
hellokoding-courses,39.700000,323,1,536,HAS_RECORDS
geckolib,36.233333,697,26,510,HAS_RECORDS
SapMachine,185.833333,135387,1834,49112,HAS_RECORDS
BoofCV,145.400000,5307,20,4483,AFTER_JAVA16
bnd,190.933333,15851,121,3183,HAS_RECORDS
JetBrainsRuntime,185.966667,74920,1299,49432,HAS_RECORDS
activej,35.966667,1671,13,1877,HAS_RECORDS
jenetics,181.266667,11917,15,728,HAS_RECORDS
FastAsyncWorldEdit,152.100000,6250,177,1586,HAS_RECORDS
frostwire,90.933333,7496,35,1346,AFTER_JAVA16
slice,120.466667,315,30,57,HAS_RECORDS
service-proxy,163.333333,3380,44,1128,HAS_RECORDS
js-graphql-intellij-plugin,88.900000,843,27,854,AFTER_JAVA16
sts4,81.066667,5004,30,2621,HAS_RECORDS
Sketchware-Pro,25.900000,3291,35,2742,AFTER_JAVA16
Bytecoder,73.433333,1374,16,7789,HAS_RECORDS
sejda,156.000000,2552,8,580,HAS_RECORDS
redis-om-spring,19.033333,327,18,509,HAS_RECORDS
stroom,78.933333,14965,15,5722,HAS_RECORDS
selenium-java-lean-test-architecture,57.966667,349,8,20,HAS_RECORDS
KeenWrite,94.100000,1309,7,256,HAS_RECORDS
Springy-Store-Microservices,35.500000,221,5,86,HAS_RECORDS
MCreator,32.900000,3707,44,855,HAS_RECORDS
equalsverifier,168.000000,2815,35,364,HAS_RECORDS
spring-data-neo4j,99.033333,1882,45,727,HAS_RECORDS
LiveLessons,103.233333,1532,14,27884,HAS_RECORDS
odd-platform,22.566667,702,33,775,HAS_RECORDS
oraxen,45.333333,2333,57,281,HAS_RECORDS
DrivenByMoss,72.933333,847,16,1287,HAS_RECORDS
hilla,199.666667,642,35,630,HAS_RECORDS
sirix,131.666667,3285,65,1183,HAS_RECORDS
master-spring-and-spring-boot,3.133333,103,4,170,HAS_RECORDS
CraftBook,149.100000,4757,82,387,AFTER_JAVA16
exist,244.333333,23769,121,2548,AFTER_JAVA16
Whatsapp4j,29.066667,863,11,483,HAS_RECORDS
Sponge,97.400000,8211,150,3083,AFTER_JAVA16
cloud-native-spring-in-action,32.700000,107,1,1291,HAS_RECORDS
incubator-baremaps,52.766667,1365,23,367,HAS_RECORDS
cloudbreak,108.666667,22714,260,13558,HAS_RECORDS
CodeKatas,67.166667,261,14,171,HAS_RECORDS
fx2048,109.833333,271,9,14,HAS_RECORDS
MCXR,24.233333,203,16,96,AFTER_JAVA16
ImmersivePortalsMod,46.933333,2614,29,457,HAS_RECORDS
dhis2-core,81.033333,10788,107,5659,HAS_RECORDS
RoughlyEnoughItems,53.300000,2000,29,539,HAS_RECORDS
kcctl,18.633333,294,23,92,HAS_RECORDS
