field_type, frequency
#userType, 255330
long, 207589
int, 88824
java.lang.String, 88201
boolean, 51564
java.util.List, 24499
java.util.Map, 14546
java.lang.Object, 10347
java.util.Set, 6418
double, 5364
#userType[], 4928
byte[], 4436
java.lang.Integer, 4293
int[], 3846
float, 3762
java.lang.Long, 3620
java.lang.String[], 3398
java.lang.Class, 2898
byte, 2527
java.nio.file.Path, 2277
java.lang.Boolean, 2105
java.util.HashMap, 1936
short, 1799
java.io.File, 1764
java.util.Date, 1651
java.util.ArrayList, 1497
java.util.function.Function, 1344
java.util.Collection, 1305
char, 1263
java.util.function.Supplier, 1257
java.util.concurrent.CountDownLatch, 1237
java.lang.Thread, 1211
java.util.concurrent.atomic.AtomicInteger, 1203
char[], 1166
java.math.BigInteger, 1157
java.util.concurrent.atomic.AtomicLong, 1099
double[], 1078
java.lang.Object[], 1043
java.util.concurrent.atomic.AtomicBoolean, 1032
java.lang.Runnable, 1009
java.awt.Color, 991
java.util.Vector, 976
java.util.Stack, 960
java.util.Iterator, 942
long[], 926
java.lang.Exception, 903
float[], 854
java.util.Optional, 843
java.io.InputStream, 824
java.util.regex.Pattern, 819
java.util.concurrent.ConcurrentMap, 809
java.util.UUID, 764
javax.swing.JLabel, 749
java.lang.ref.WeakReference, 746
javax.swing.JButton, 719
java.nio.ByteBuffer, 703
java.util.concurrent.ExecutorService, 697
java.io.PrintStream, 685
java.lang.CharSequence, 682
javax.swing.JCheckBox, 673
java.util.function.Consumer, 664
java.net.URL, 635
java.awt.image.BufferedImage, 635
java.util.concurrent.Executor, 620
java.lang.Throwable, 606
java.lang.Double, 605
java.util.concurrent.atomic.AtomicReference, 582
java.lang.reflect.Method, 569
java.lang.StringBuilder, 538
javax.swing.JSpinner, 538
javax.swing.JComboBox, 532
boolean[], 529
javax.swing.JPanel, 522
java.util.Random, 518
java.time.Instant, 510
java.io.OutputStream, 509
java.util.Hashtable, 503
java.util.Queue, 500
java.net.URI, 481
java.util.regex.Matcher, 464
java.util.concurrent.ConcurrentHashMap, 447
java.util.function.Predicate, 444
java.lang.ClassLoader, 434
com.sun.jdi.ThreadReference, 432
java.util.LinkedList, 431
com.sun.jdi.ReferenceType, 414
java.awt.Component, 410
java.time.Duration, 408
short[], 403
java.util.Deque, 402
java.awt.TextArea, 398
java.io.ByteArrayOutputStream, 396
javax.swing.JTextField, 394
java.math.BigDecimal, 392
java.util.concurrent.CompletableFuture, 392
java.awt.Rectangle, 391
java.util.Locale, 376
java.util.concurrent.locks.ReentrantLock, 372
java.util.concurrent.Semaphore, 358
java.awt.Button, 355
java.awt.Point, 352
java.net.ServerSocket, 351
java.awt.Frame, 348
java.util.Properties, 327
java.io.PrintWriter, 324
int[][], 319
java.util.concurrent.ScheduledExecutorService, 316
java.lang.invoke.VarHandle, 309
java.lang.invoke.MethodHandle, 287
java.time.LocalDateTime, 286
java.lang.Class[], 285
java.util.concurrent.locks.Lock, 276
java.lang.Float, 272
javax.swing.JFrame, 268
java.util.function.BiFunction, 263
java.net.Socket, 263
java.util.Comparator, 256
java.util.function.BiConsumer, 245
java.awt.Font, 244
java.awt.Dimension, 243
java.util.concurrent.CyclicBarrier, 241
javax.swing.Icon, 238
org.w3c.dom.Node, 235
java.util.HashSet, 229
java.lang.ThreadLocal, 226
java.lang.String[][], 221
java.util.concurrent.ScheduledFuture, 215
com.sun.jdi.VirtualMachine, 214
java.time.LocalDate, 211
java.util.EnumSet, 210
java.util.concurrent.BlockingQueue, 207
java.util.concurrent.locks.Condition, 207
java.awt.Robot, 205
java.awt.Image, 205
#userType[][], 201
java.util.concurrent.ExecutorCompletionService, 198
java.lang.Character, 195
java.net.InetSocketAddress, 194
java.security.Permissions, 190
javax.sql.DataSource, 189
java.util.concurrent.atomic.LongAdder, 188
java.util.concurrent.locks.ReentrantReadWriteLock, 188
java.lang.StringBuffer, 187
java.lang.Iterable, 186
java.awt.Insets, 186
javax.swing.Action, 180
java.util.ResourceBundle, 179
java.nio.charset.Charset, 177
javax.swing.JTextArea, 169
java.lang.reflect.Field, 166
java.security.SecureRandom, 166
java.util.concurrent.locks.StampedLock, 165
java.io.Writer, 162
java.lang.Byte, 160
java.lang.Process, 159
java.time.ZonedDateTime, 157
byte[][], 156
java.util.BitSet, 155
javax.swing.JRadioButton, 153
java.net.InetAddress, 153
javax.swing.ImageIcon, 149
java.io.Reader, 149
java.awt.Panel, 146
java.security.AccessControlContext, 146
javax.swing.plaf.ColorUIResource, 146
java.beans.PropertyChangeListener, 139
javax.swing.JMenuItem, 137
double[][], 136
com.sun.jdi.request.BreakpointRequest, 134
javax.swing.JTable, 133
java.io.BufferedReader, 133
java.lang.reflect.Type, 133
javax.swing.JComponent, 131
java.util.LinkedHashMap, 130
java.util.logging.Logger, 127
java.lang.Short, 126
java.awt.geom.AffineTransform, 126
com.sun.net.httpserver.HttpServer, 124
java.lang.ref.SoftReference, 123
java.util.SortedSet, 116
javax.swing.JList, 115
java.lang.Object[][], 113
javax.management.ObjectName, 112
java.time.Clock, 110
java.util.concurrent.LinkedBlockingQueue, 109
java.util.function.LongSupplier, 107
com.sun.jdi.ClassType, 106
java.net.http.HttpClient, 106
java.util.TreeMap, 105
java.lang.Number, 104
java.security.MessageDigest, 103
java.awt.event.ActionListener, 102
org.w3c.dom.Document, 101
javax.management.MBeanServer, 101
java.nio.channels.FileChannel, 101
java.lang.ref.ReferenceQueue, 101
javax.swing.JScrollPane, 100
java.lang.invoke.MethodType, 99
java.nio.file.FileSystem, 97
java.util.SortedMap, 93
java.time.ZoneId, 92
java.util.AbstractMap, 90
java.lang.Module, 89
java.io.RandomAccessFile, 89
org.xml.sax.ContentHandler, 89
javax.swing.JMenu, 88
java.lang.reflect.Constructor, 88
javax.swing.event.EventListenerList, 88
org.xml.sax.Locator, 88
java.awt.Window, 88
java.util.concurrent.Phaser, 87
java.security.Provider, 87
java.util.concurrent.Flow.Subscription, 87
javax.tools.JavaCompiler, 86
java.security.PrivateKey, 86
java.lang.Integer[], 85
java.awt.image.ColorModel, 84
java.beans.PropertyChangeSupport, 84
java.security.PublicKey, 83
java.util.concurrent.ConcurrentLinkedQueue, 83
java.security.cert.X509Certificate, 83
java.util.concurrent.TimeUnit, 82
java.util.LinkedHashSet, 82
java.awt.Dialog, 82
java.time.LocalTime, 81
javax.tools.StandardJavaFileManager, 80
java.util.Timer, 80
javax.swing.KeyStroke, 79
javax.sound.sampled.AudioFormat, 79
short[][], 79
java.nio.channels.SocketChannel, 78
java.lang.ref.Reference, 78
javax.xml.namespace.QName, 77
java.awt.Label, 77
java.util.concurrent.Future, 77
java.lang.ThreadGroup, 76
javax.swing.JPopupMenu, 75
java.util.EnumMap, 75
javax.swing.JToggleButton, 74
java.io.StringWriter, 73
float[][], 73
javax.swing.event.ChangeListener, 73
java.time.OffsetDateTime, 73
com.sun.jdi.request.EventRequestManager, 72
org.w3c.dom.Element, 71
javax.swing.Timer, 70
javax.imageio.stream.ImageInputStream, 70
javax.swing.JDialog, 70
java.util.concurrent.Callable, 70
javax.swing.border.Border, 69
java.util.ArrayDeque, 69
java.lang.Comparable, 68
java.awt.geom.Rectangle2D, 67
java.security.spec.AlgorithmParameterSpec, 67
java.io.IOException, 67
javax.swing.JTree, 66
java.nio.CharBuffer, 66
javax.accessibility.AccessibleContext, 65
java.util.Enumeration, 65
java.sql.Connection, 64
java.io.FileDescriptor, 64
java.awt.event.FocusListener, 63
java.awt.TextField, 63
javax.swing.JSlider, 63
java.util.TreeSet, 62
javax.tools.JavaFileManager, 62
java.awt.Container, 61
javax.tools.JavaFileObject, 61
javax.swing.JTabbedPane, 60
java.awt.datatransfer.DataFlavor, 60
java.util.function.BooleanSupplier, 60
java.awt.List, 59
javax.security.auth.x500.X500Principal, 59
java.nio.IntBuffer, 59
java.util.WeakHashMap, 59
javax.security.auth.Subject, 58
java.util.concurrent.locks.ReadWriteLock, 58
java.nio.charset.CharsetEncoder, 58
java.net.DatagramSocket, 58
java.awt.Color[], 58
java.awt.Shape, 57
javax.security.auth.callback.CallbackHandler, 54
java.security.Key, 54
javax.swing.JFileChooser, 54
com.sun.jdi.ObjectReference, 54
char[][], 54
java.util.function.UnaryOperator, 54
java.awt.datatransfer.Transferable, 54
javax.swing.JMenuBar, 53
java.lang.Thread[], 53
java.util.function.BiPredicate, 52
java.io.File[], 51
javax.lang.model.element.TypeElement, 51
javax.swing.event.ChangeEvent, 51
javax.lang.model.util.Elements, 51
java.nio.ByteOrder, 51
javax.swing.JEditorPane, 51
java.nio.channels.ServerSocketChannel, 51
javax.swing.JInternalFrame, 51
com.sun.source.util.Trees, 50
org.xml.sax.ext.LexicalHandler, 50
java.awt.print.PrinterJob, 50
java.util.concurrent.CopyOnWriteArrayList, 49
javax.swing.JProgressBar, 49
java.util.ListIterator, 49
java.util.Spliterator, 49
java.util.function.IntUnaryOperator[], 48
java.security.KeyStore, 48
java.lang.Void, 48
java.text.DecimalFormat, 48
javax.swing.text.AttributeSet, 47
java.io.BufferedWriter, 47
org.xml.sax.ErrorHandler, 47
java.awt.GraphicsConfiguration, 47
java.awt.event.MouseListener, 46
java.security.cert.X509Certificate[], 46
javax.swing.JFormattedTextField, 46
java.awt.Choice, 46
java.util.List[], 46
java.io.DataInputStream, 45
java.awt.FontMetrics, 45
java.io.DataOutputStream, 45
java.lang.invoke.MethodHandles.Lookup, 45
java.util.Map.Entry, 44
java.lang.RuntimeException, 44
javax.swing.tree.TreePath, 44
java.lang.ref.Cleaner.Cleanable, 44
java.awt.font.FontRenderContext, 43
javax.swing.table.TableCellRenderer, 43
java.awt.datatransfer.DataFlavor[], 43
javax.swing.JSplitPane, 43
java.text.Collator, 43
org.xml.sax.XMLReader, 43
java.util.zip.ZipFile, 42
javax.xml.parsers.DocumentBuilder, 42
java.util.jar.JarFile, 42
javax.xml.stream.XMLStreamWriter, 41
java.net.SocketAddress, 41
java.security.cert.Certificate[], 41
com.sun.jdi.event.EventSet, 40
jdk.incubator.vector.VectorMask, 40
java.awt.dnd.DragSource, 40
java.awt.image.WritableRaster, 40
java.util.Calendar, 40
long[][], 40
java.lang.reflect.Type[], 40
javax.swing.JToolBar, 40
javax.swing.ButtonGroup, 40
java.net.http.HttpResponse.BodySubscriber, 40
java.security.PermissionCollection, 40
javax.xml.stream.XMLInputFactory, 40
java.awt.print.PageFormat, 40
java.nio.LongBuffer, 39
javax.sound.sampled.AudioInputStream, 39
javax.lang.model.element.Element, 38
java.util.concurrent.ThreadFactory, 38
java.awt.Paint, 38
java.awt.image.VolatileImage, 38
java.awt.event.KeyListener, 38
javax.xml.transform.ErrorListener, 38
java.nio.channels.Selector, 38
java.text.SimpleDateFormat, 38
java.util.IdentityHashMap, 38
com.sun.jdi.Field, 38
java.util.stream.Stream, 38
java.nio.FloatBuffer, 38
javax.imageio.stream.ImageOutputStream, 38
java.text.DateFormat, 37
java.util.TimeZone, 37
java.awt.Dialog.ModalityType, 36
javax.imageio.ImageWriter, 36
boolean[][], 36
java.net.http.HttpHeaders, 36
java.util.concurrent.ArrayBlockingQueue, 35
java.util.prefs.Preferences, 35
java.awt.Cursor, 35
java.time.format.DateTimeFormatter, 35
java.awt.TrayIcon, 35
java.nio.charset.CharsetDecoder, 35
java.lang.StackTraceElement[], 34
java.awt.dnd.DropTarget, 34
java.util.function.IntBinaryOperator, 34
java.awt.event.ItemListener, 34
java.awt.MenuItem, 34
java.util.function.BinaryOperator, 34
java.awt.BasicStroke, 33
java.security.cert.CertificateFactory, 33
javax.xml.stream.XMLStreamReader, 33
javax.swing.DefaultListModel, 33
java.util.concurrent.atomic.AtomicReferenceArray, 33
java.lang.System.Logger, 33
java.io.FileOutputStream, 33
javax.swing.undo.UndoManager, 33
java.util.concurrent.Flow.Subscriber, 32
java.net.ProxySelector, 32
java.lang.Long[], 32
java.nio.ByteBuffer[], 32
java.lang.StackWalker, 31
org.xml.sax.EntityResolver, 31
java.util.function.LongConsumer, 31
java.util.concurrent.ScheduledThreadPoolExecutor, 31
java.util.random.RandomGenerator, 31
java.util.NavigableMap, 31
java.util.function.IntSupplier, 31
java.io.Serializable, 30
javax.swing.text.MutableAttributeSet, 30
java.awt.FileDialog, 30
javax.lang.model.util.Types, 30
java.lang.Appendable, 30
java.nio.file.PathMatcher, 30
java.lang.management.ThreadMXBean, 30
javax.management.MBeanServerConnection, 30
java.text.AttributedCharacterIterator, 30
javax.xml.stream.XMLOutputFactory, 30
java.nio.file.Path[], 30
java.util.Dictionary, 29
java.lang.annotation.Annotation, 29
java.text.CharacterIterator, 29
java.lang.Boolean[], 28
java.awt.event.MouseEvent, 28
javax.swing.text.JTextComponent, 28
java.util.PriorityQueue, 28
javax.xml.validation.SchemaFactory, 28
java.sql.Timestamp, 28
java.util.concurrent.ForkJoinPool, 28
java.lang.ref.SoftReference[], 27
java.awt.Canvas, 27
java.awt.Graphics, 27
java.util.function.LongBinaryOperator, 27
java.awt.color.ColorSpace, 27
java.security.Permission, 27
javax.xml.transform.URIResolver, 27
javax.swing.event.MouseInputListener, 27
java.sql.ResultSet, 27
java.util.concurrent.ThreadPoolExecutor, 27
java.nio.DoubleBuffer, 27
java.lang.Double[], 27
javax.swing.JRootPane, 26
java.util.function.ToIntFunction, 26
com.sun.source.tree.CompilationUnitTree, 26
jdk.javadoc.doclet.Reporter, 26
java.nio.channels.SelectionKey, 26
com.sun.source.util.DocTrees, 26
com.sun.net.httpserver.Headers, 26
javax.xml.validation.Schema, 26
java.awt.Graphics2D, 26
org.xml.sax.DTDHandler, 26
java.lang.Runtime.Version, 26
java.net.URLClassLoader, 26
javax.xml.stream.XMLEventReader, 26
java.util.regex.Pattern[], 26
java.awt.dnd.DragGestureListener, 26
java.nio.channels.DatagramChannel, 25
org.w3c.dom.DOMErrorHandler, 25
java.awt.geom.Point2D, 25
javax.annotation.processing.Messager, 25
java.security.Signature, 25
java.awt.RenderingHints, 25
java.sql.PreparedStatement, 25
com.sun.net.httpserver.HttpsServer, 25
java.util.function.LongPredicate, 25
java.util.jar.Manifest, 25
java.time.ZoneOffset, 25
java.util.logging.Level, 25
javax.sound.sampled.SourceDataLine, 25
java.util.function.IntFunction, 25
com.sun.jdi.Location, 24
java.security.cert.Certificate, 24
org.xml.sax.InputSource, 24
com.sun.jdi.request.ExceptionRequest, 24
java.io.ByteArrayInputStream, 24
javax.imageio.metadata.IIOMetadata, 24
java.awt.datatransfer.SystemFlavorMap, 24
javax.imageio.ImageReader, 24
com.sun.jdi.event.EventIterator, 24
com.sun.jdi.Method, 24
java.nio.file.WatchService, 24
java.io.Closeable, 24
java.net.URL[], 24
java.lang.module.ModuleDescriptor, 24
com.sun.jdi.Value, 24
javax.naming.Name, 24
java.io.ObjectInputFilter, 24
java.lang.reflect.Method[], 23
java.awt.CardLayout, 23
java.util.concurrent.ThreadLocalRandom, 23
javax.print.PrintService, 23
javax.xml.catalog.CatalogFeatures, 23
java.awt.image.Raster, 23
java.util.SplittableRandom, 23
java.lang.System.Logger.Level, 23
javax.lang.model.type.TypeMirror, 23
javax.swing.filechooser.FileSystemView, 23
java.awt.Toolkit, 22
java.text.BreakIterator, 22
java.io.ObjectOutputStream, 22
javax.tools.JavaFileManager.Location, 22
java.lang.AutoCloseable, 22
java.util.function.DoubleBinaryOperator, 22
java.lang.Record, 22
java.security.Policy, 22
javax.xml.parsers.DocumentBuilderFactory, 22
org.ietf.jgss.Oid, 22
java.io.FileInputStream, 22
java.io.PipedInputStream, 21
java.util.TimerTask, 21
java.lang.Error, 21
javax.xml.stream.XMLEventFactory, 21
java.nio.ShortBuffer, 21
java.util.zip.CRC32, 21
int[][][], 21
javax.accessibility.Accessible, 21
java.net.DatagramPacket, 21
java.awt.event.WindowListener, 21
javax.swing.CellRendererPane, 21
java.text.NumberFormat, 21
java.net.Proxy, 21
javax.swing.JDesktopPane, 21
javax.swing.JToolBar.Separator, 20
java.time.format.DateTimeFormatterBuilder, 20
javax.swing.JScrollBar, 20
javax.swing.plaf.FontUIResource, 20
java.util.stream.Collector, 20
#userType[][][], 20
java.security.AlgorithmConstraints, 20
jdk.jfr.AnnotationElement, 20
java.lang.Package, 20
javax.xml.stream.XMLEventWriter, 20
jdk.incubator.vector.VectorSpecies, 20
javax.lang.model.element.Name, 20
java.util.Map[], 20
jdk.incubator.vector.Vector, 20
javax.swing.JSeparator, 20
javax.swing.text.Document, 19
java.nio.file.attribute.BasicFileAttributes, 19
javax.swing.JCheckBoxMenuItem, 19
javax.xml.namespace.NamespaceContext, 19
javax.management.NotificationListener, 19
javax.xml.xpath.XPath, 19
java.util.function.IntConsumer, 19
sun.misc.Unsafe, 19
java.lang.module.ModuleFinder, 19
javax.print.attribute.PrintRequestAttributeSet, 19
java.awt.geom.Ellipse2D.Double, 19
java.util.ArrayList[], 19
javax.naming.Context, 19
java.io.ObjectInputStream, 19
java.awt.print.Printable, 19
java.text.MessageFormat, 19
java.util.zip.ZipOutputStream, 19
java.nio.channels.ReadableByteChannel, 19
java.awt.dnd.DropTargetListener, 18
java.util.random.RandomGenerator.SplittableGenerator, 18
java.util.Formatter, 18
java.security.cert.TrustAnchor, 18
javax.lang.model.element.PackageElement, 18
java.util.ServiceLoader, 18
java.net.http.HttpRequest, 18
java.awt.dnd.DragSourceListener, 18
javax.imageio.ImageWriteParam, 18
java.awt.event.ComponentListener, 18
java.time.temporal.TemporalUnit, 18
java.security.AlgorithmParameters, 18
org.w3c.dom.ls.LSResourceResolver, 18
com.sun.jdi.request.MethodEntryRequest, 18
java.io.BufferedInputStream, 18
javax.swing.table.JTableHeader, 18
java.awt.datatransfer.Clipboard, 18
java.util.concurrent.LinkedTransferQueue, 18
java.security.cert.PKIXBuilderParameters, 18
javax.print.DocFlavor, 18
java.time.temporal.Temporal, 18
javax.xml.xpath.XPathFactory, 18
java.awt.event.MouseMotionListener, 18
java.nio.file.attribute.FileTime, 17
java.security.interfaces.RSAPublicKey, 17
java.awt.GraphicsDevice, 17
org.xml.sax.Attributes, 17
java.awt.GradientPaint, 17
java.net.http.HttpClient.Version, 17
java.util.concurrent.ConcurrentLinkedDeque, 17
javax.swing.event.SwingPropertyChangeSupport, 17
javax.swing.filechooser.FileFilter[], 17
java.lang.Float[], 17
javax.annotation.processing.ProcessingEnvironment, 17
java.awt.geom.GeneralPath, 17
java.awt.PopupMenu, 17
java.io.PipedOutputStream, 17
java.io.StreamTokenizer, 17
com.sun.source.util.JavacTask, 16
java.awt.dnd.DragGestureRecognizer, 16
java.text.AttributedString, 16
java.lang.StackTraceElement, 16
org.w3c.dom.DOMStringList, 16
java.util.OptionalInt, 16
java.awt.LayoutManager, 16
java.util.jar.JarEntry, 16
javax.naming.ldap.Control[], 16
java.util.function.ToLongFunction, 16
java.lang.ProcessBuilder, 16
java.security.KeyPair, 16
java.net.http.HttpResponse.BodyHandler, 16
java.util.zip.ZipEntry, 16
java.awt.Rectangle[], 16
jdk.javadoc.doclet.DocletEnvironment, 16
java.lang.Compiler, 16
java.security.spec.PSSParameterSpec, 16
java.rmi.Remote, 16
java.lang.SecurityManager, 16
java.lang.management.MemoryMXBean, 16
java.awt.image.IndexColorModel, 16
java.awt.BufferCapabilities, 16
javax.swing.text.Element, 16
java.net.PasswordAuthentication, 15
java.net.HttpURLConnection, 15
java.lang.reflect.Executable, 15
javax.naming.directory.DirContext, 15
javax.swing.text.View, 15
java.net.URLConnection, 15
javax.swing.UIDefaults, 15
java.security.Provider.Service, 15
javax.swing.tree.DefaultMutableTreeNode, 15
java.util.OptionalLong, 15
java.awt.Font[], 15
java.lang.Byte[], 15
javax.management.remote.JMXConnector, 15
java.awt.Component[], 15
java.awt.event.ContainerListener, 15
java.lang.ClassValue, 15
java.lang.management.MemoryPoolMXBean, 15
java.security.ProtectionDomain, 15
java.nio.file.spi.FileSystemProvider, 15
java.awt.image.ColorConvertOp, 14
javax.tools.DiagnosticListener, 14
java.io.LineNumberReader, 14
javax.management.Descriptor, 14
java.util.concurrent.BlockingDeque, 14
java.awt.Checkbox, 14
java.lang.module.ModuleReference, 14
javax.swing.JMenuItem[], 14
com.sun.jdi.connect.ListeningConnector, 14
java.net.http.HttpRequest.BodyPublisher, 14
javax.sound.sampled.Clip, 14
javax.swing.ListSelectionModel, 14
java.security.CodeSource, 14
javax.xml.datatype.DatatypeFactory, 14
javax.xml.catalog.CatalogResolver, 14
javax.swing.JTextPane, 14
javax.xml.transform.TransformerFactory, 14
java.awt.Composite, 14
java.lang.ModuleLayer, 14
javax.management.remote.JMXConnectorServer, 14
com.sun.nio.sctp.SctpServerChannel, 14
javax.management.openmbean.CompositeData, 14
javax.management.MBeanInfo, 14
javax.management.remote.JMXServiceURL, 14
javax.imageio.ImageTypeSpecifier, 14
javax.lang.model.element.ExecutableElement, 14
java.awt.geom.Line2D.Double, 14
java.lang.reflect.Field[], 14
java.lang.Character[], 13
javax.swing.tree.TreeModel, 13
java.lang.reflect.Member, 13
java.net.NetworkInterface, 13
java.util.EventListener, 13
java.io.FilenameFilter, 13
java.io.OutputStreamWriter, 13
javax.swing.Painter, 13
javax.sound.midi.Receiver, 13
java.time.Period, 13
java.lang.Thread.UncaughtExceptionHandler, 13
org.w3c.dom.NodeList, 13
java.lang.module.ModuleDescriptor.Version, 13
java.awt.KeyboardFocusManager, 13
org.w3c.dom.ls.LSSerializerFilter, 13
java.lang.Runtime, 13
java.util.concurrent.ConcurrentHashMap.KeySetView, 13
java.math.BigDecimal[], 13
javax.xml.transform.Templates, 13
javax.xml.parsers.SAXParser, 13
javax.xml.xpath.XPathFunctionResolver, 13
javax.swing.SpinnerNumberModel, 13
java.util.function.IntUnaryOperator, 12
